"place","date","lfs_event","protocols_used"
"Gosford",2012-10-20,1,"Salimi2016"
"Gosford",2012-11-25,1,"Salimi2016"
"Gosford",2013-04-28,1,"Salimi2016"
"Gosford",2013-09-11,1,"Salimi2016"
"Gosford",2013-10-17,1,"Salimi2016"
"Gosford",2013-10-18,1,"Salimi2016"
"Gosford",2013-10-19,1,"Salimi2016"
"Gosford",2013-10-21,1,"Salimi2016"
"Gosford",2013-10-22,1,"Salimi2016"
"Gosford",2013-10-23,1,"Salimi2016"
"Gosford",2013-10-24,1,"Salimi2016"
"Gosford",2013-10-28,1,"Salimi2016"
"Gosford",2013-10-29,1,"Salimi2016"
"Gosford",2013-11-03,1,"Salimi2016"
"Gosford",2013-11-07,1,"Salimi2016"
"Gosford",2013-11-08,1,"Salimi2016"
"Gosford",2013-11-09,1,"Salimi2016"
"Gosford",2013-12-21,1,"Salimi2016"
"Gosford",2014-01-04,1,"Salimi2016"
"Gosford",2014-05-29,1,"Salimi2016"
"Gosford",2014-11-24,1,"Salimi2016"
"Gosford",2016-05-07,1,"Salimi2016"
"Gosford",2016-05-19,1,"Salimi2016"
"Gosford",2016-05-22,1,"Salimi2016"
"Gosford",2016-11-07,1,"Salimi2016"
"Gosford",2017-08-14,1,"Salimi2016"
"Gosford",2017-08-26,1,"Salimi2016"
"Gosford",2017-09-02,1,"Salimi2016"
"Gosford",2017-09-11,1,"Salimi2016"
"Gosford",2018-05-06,1,"Salimi2016"
"Gosford",2018-05-09,1,"Salimi2016"
"Gosford",2018-05-28,1,"Salimi2016"
"Gosford",2018-09-17,1,"Salimi2016"
"Gosford",2018-11-22,1,"Salimi2016"
"Gosford",2018-12-30,1,"Salimi2016"
"Gosford",2019-01-27,1,"Salimi2016"
"Gosford",2019-04-28,1,"Salimi2016"
"Gosford",2019-05-21,1,"Salimi2016"
"Gosford",2019-05-22,1,"Salimi2016"
"Gosford",2019-05-24,1,"Salimi2016"
"Gosford",2019-05-31,1,"Salimi2016"
"Gosford",2019-08-14,1,"Salimi2016"
"Gosford",2019-10-31,1,"Salimi2016"
"Gosford",2019-11-01,1,"Salimi2016"
"Gosford",2019-11-07,1,"Salimi2016"
"Gosford",2019-11-11,1,"Salimi2016"
"Gosford",2019-11-15,1,"Salimi2016"
"Gosford",2019-11-18,1,"Salimi2016"
"Gosford",2019-11-19,1,"Salimi2016"
"Gosford",2019-11-21,1,"Salimi2016"
"Gosford",2019-11-22,1,"Salimi2016"
"Gosford",2019-11-25,1,"Salimi2016"
"Gosford",2019-11-28,1,"Salimi2016"
"Gosford",2019-11-29,1,"Salimi2016"
"Gosford",2019-11-30,1,"Salimi2016"
"Gosford",2019-12-02,1,"Salimi2016"
"Gosford",2019-12-03,1,"Salimi2016"
"Gosford",2019-12-04,1,"Salimi2016"
"Gosford",2019-12-05,1,"Salimi2016"
"Gosford",2019-12-06,1,"Salimi2016"
"Gosford",2019-12-07,1,"Salimi2016"
"Gosford",2019-12-09,1,"Salimi2016"
"Gosford",2019-12-10,1,"Salimi2016"
"Gosford",2019-12-12,1,"Salimi2016"
"Gosford",2019-12-14,1,"Salimi2016"
"Gosford",2019-12-15,1,"Salimi2016"
"Gosford",2019-12-16,1,"Salimi2016"
"Gosford",2019-12-19,1,"Salimi2016"
"Gosford",2019-12-21,1,"Salimi2016"
"Gosford",2019-12-22,1,"Salimi2016"
"Gosford",2019-12-29,1,"Salimi2016"
"Gosford",2019-12-31,1,"Salimi2016"
