nam,gid,site,region,lat,lon,the_geom
NEW SOUTH WALES,2,Albury,Albury,-36.051666666999999,146.97416666699999,SRID=4283;POINT(146.974166667 -36.051666667)
NEW SOUTH WALES,24,Armidale,Armidale,-30.5144499296206,151.66565895080601,SRID=4283;POINT(151.665658950806 -30.5144499296206)
NEW SOUTH WALES,4,Bathurst,Bathurst,-33.403333332999999,149.57333333299999,SRID=4283;POINT(149.573333333 -33.403333333)
NEW SOUTH WALES,1,Albion Park South,Illawara,-34.580555556,150.781666667,SRID=4283;POINT(150.781666667 -34.580555556)
NEW SOUTH WALES,9,Kembla Grange,Illawara,-34.476388888999999,150.8175,SRID=4283;POINT(150.8175 -34.476388889)
NEW SOUTH WALES,23,Wollongong,Illawara,-34.418611110999997,150.88638888899999,SRID=4283;POINT(150.886388889 -34.418611111)
NEW SOUTH WALES,5,Beresfield,Lower Hunter,-32.798333333000002,151.66,SRID=4283;POINT(151.66 -32.798333333)
NEW SOUTH WALES,13,Newcastle,Lower Hunter,-32.932499999999997,151.758333333,SRID=4283;POINT(151.758333333 -32.9325)
NEW SOUTH WALES,22,Wallsend,Lower Hunter,-32.896111111000003,151.66916666700001,SRID=4283;POINT(151.669166667 -32.896111111)
NEW SOUTH WALES,3,Bargo,Sydney,-34.307499999999997,150.58000000000001,SRID=4283;POINT(150.58 -34.3075)
NEW SOUTH WALES,6,Bringelly,Sydney,-33.919444444,150.76111111099999,SRID=4283;POINT(150.761111111 -33.919444444)
NEW SOUTH WALES,7,Chullora,Sydney,-33.893888889000003,151.04527777800001,SRID=4283;POINT(151.045277778 -33.893888889)
NEW SOUTH WALES,8,Earlwood,Sydney,-33.917777778000001,151.13472222199999,SRID=4283;POINT(151.134722222 -33.917777778)
NEW SOUTH WALES,10,Lindfield,Sydney,-33.782777778000003,151.15000000000001,SRID=4283;POINT(151.15 -33.782777778)
NEW SOUTH WALES,11,Liverpool,Sydney,-33.932777778000002,150.905833333,SRID=4283;POINT(150.905833333 -33.932777778)
NEW SOUTH WALES,12,Macarthur,Sydney,-34.071111111,150.781666667,SRID=4283;POINT(150.781666667 -34.071111111)
NEW SOUTH WALES,14,Oakdale,Sydney,-34.053055555999997,150.497222222,SRID=4283;POINT(150.497222222 -34.053055556)
NEW SOUTH WALES,15,Randwick,Sydney,-33.933333333,151.24194444400001,SRID=4283;POINT(151.241944444 -33.933333333)
NEW SOUTH WALES,16,Richmond,Sydney,-33.618333333000002,150.74583333300001,SRID=4283;POINT(150.745833333 -33.618333333)
NEW SOUTH WALES,17,Rozelle,Sydney,-33.865833332999998,151.16249999999999,SRID=4283;POINT(151.1625 -33.865833333)
NEW SOUTH WALES,18,St Marys,Sydney,-33.797222222000002,150.76583333299999,SRID=4283;POINT(150.765833333 -33.797222222)
NEW SOUTH WALES,20,Vineyard,Sydney,-33.657777778000003,150.84666666699999,SRID=4283;POINT(150.846666667 -33.657777778)
NEW SOUTH WALES,19,Tamworth,Tamworth,-31.110555556000001,150.91416666699999,SRID=4283;POINT(150.914166667 -31.110555556)
NEW SOUTH WALES,21,Wagga Wagga,Wagga Wagga,-35.117222222000002,147.376388889,SRID=4283;POINT(147.376388889 -35.117222222)
TASMANIA,25,NTHBT,Hobart,-42.854359453902703,147.315052655339,SRID=4283;POINT(147.315052655339 -42.8543594539027)
TASMANIA,26,TTBEND,Launceston,-41.4207386068597,147.12258799427801,SRID=4283;POINT(147.122587994278 -41.4207386068597)
WESTERN AUSTRALIA,27,Albany,Albany,-35.011229999999998,117.88619300000001,SRID=4283;POINT(117.886193 -35.01123)
WESTERN AUSTRALIA,28,Bunbury,Bunbury,-33.341455000000003,115.643028,SRID=4283;POINT(115.643028 -33.341455)
WESTERN AUSTRALIA,29,Busselton,Busselton,-33.648290000000003,115.351483,SRID=4283;POINT(115.351483 -33.64829)
WESTERN AUSTRALIA,33,Geraldton,Geraldton,-28.769552999999998,114.632234,SRID=4283;POINT(114.632234 -28.769553)
WESTERN AUSTRALIA,30,CavershamA,Perth,-31.875769999999999,115.977357,SRID=4283;POINT(115.977357 -31.87577)
WESTERN AUSTRALIA,31,CavershamB,Perth,-31.875769999999999,115.977357,SRID=4283;POINT(115.977357 -31.87577)
WESTERN AUSTRALIA,32,Duncraig,Perth,-31.826308999999998,115.782786,SRID=4283;POINT(115.782786 -31.826309)
WESTERN AUSTRALIA,34,QueensBuilding,Perth,-31.952667999999999,115.85727900000001,SRID=4283;POINT(115.857279 -31.952668)
WESTERN AUSTRALIA,35,QuinnsRocks,Perth,-31.678297000000001,115.69706100000001,SRID=4283;POINT(115.697061 -31.678297)
WESTERN AUSTRALIA,36,SouthLake,Perth,-32.110551999999998,115.834705,SRID=4283;POINT(115.834705 -32.110552)
